id,complaint_text,category,department,auto_reply
1117,Trash bins are overflowing in the ward This problem is affecting my daily activities.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
1127,I have sudden acne breakouts The discomfort increases during the night.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
1135,I have sudden acne breakouts This problem has been happening for a week.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
1137,The hospital phone line is always busy I need medical advice regarding this issue.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
1139,I cannot lift heavy objects due to arm pain The condition seems to be getting worse.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
1142,The restroom is not hygienic The discomfort increases during the night.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
1145,The hospital billing process is very slow This issue started two days ago.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
1153,I experience sudden dizziness when standing I would like a doctor consultation for this issue.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
1154,The doctor appointment was delayed for more than an hour Please guide me on what to do next.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
1155,I experience sudden dizziness when standing I need medical advice regarding this issue.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
1163,My joints feel swollen after physical work This issue started two days ago.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
1165,The staff did not guide patients properly This problem has been happening for a week.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
1200,The doctor appointment was delayed for more than an hour This issue started two days ago.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
1252,The bathroom water is not clean This issue started two days ago.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
1253,I sometimes lose balance while walking This problem has been happening for a week.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
1254,My joints feel swollen after physical work I need medical advice regarding this issue.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
1275,My skin feels extremely dry and flaky I would like a doctor consultation for this issue.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
1285,My heartbeat becomes irregular during exercise This problem is affecting my daily activities.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
1289,My heartbeat becomes irregular during exercise The condition seems to be getting worse.,medical,Cardiology,Your concern has been forwarded to the cardiology department. A specialist will review it shortly.
1293,I notice dark patches appearing on my skin I need medical advice regarding this issue.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
1295,My child has difficulty sleeping at night Please guide me on what to do next.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
1296,Cleaning staff did not visit today Please guide me on what to do next.,service,Housekeeping,The housekeeping team has been notified about the cleanliness issue.
1312,I developed a burning sensation on my skin This problem is affecting my daily activities.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
1338,I feel stiffness in my shoulder every morning The condition seems to be getting worse.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
1343,My child has vomiting issues since morning I am worried about this situation.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
1356,I developed a burning sensation on my skin This problem appears after physical activity.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
1378,The waiting area is overcrowded This problem has been happening for a week.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
1383,I notice dark patches appearing on my skin Please guide me on what to do next.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
1401,The reception staff did not respond properly This problem appears after physical activity.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
1409,I feel stiffness in my shoulder every morning This problem appears after physical activity.,medical,Orthopedics,The orthopedics department will review your complaint and respond soon.
1423,The waiting area is overcrowded The discomfort increases during the night.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
1445,I experience occasional memory problems I would like a doctor consultation for this issue.,medical,Neurology,Your complaint has been sent to the neurology department for medical evaluation.
1474,The staff did not guide patients properly I would like a doctor consultation for this issue.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
1481,I notice dark patches appearing on my skin This problem appears after physical activity.,medical,Dermatology,Your skin related concern has been forwarded to the dermatology department.
1482,The waiting area is overcrowded I am worried about this situation.,service,Administration,Your complaint has been forwarded to the hospital administration for review.
1485,My child feels weak and tired often I would like a doctor consultation for this issue.,medical,Pediatrics,Your child's complaint has been sent to the pediatrics department.
